artist,artist_ids
Cappadonna,0dS5xeDefwoUNasLUHnCjR
Mystikal,3LIJJJkO7R5RasRwt7xIn5
The Red Krayola,5S3gRXHi1WrUadDR9IUwTN
Japan,7vPXrGlSGukcwpaPxUfKKR
The Script,3AQRLZ9PuTAozP28Skbq8V
Jeff Beck,0AD4odMWVQ2wUSlgxOB5Rl
The Ocean,6fuALtryzj4cq7vkglKLxq
OOIOO,1XuQeR4sDsrX9gO2gtRQwe
Negativland,6m6fw8IM7yDdkdgjBTTisW
Crowbar,3xtIpqzIOfQUxKce8BU4Ka
Jefferson Airplane,2qFr8w5sWUITRlzZ9kZotF
The Paper Chase,0z8SSepzt4lAxLDiKryVO6
Live,6eoJpTIlcuxJNjV5fDzDJH
Six Organs of Admittance,5jX8L7D6vWHYlNj9k361vI
Wye Oak,5SjNVG3L9mgWQPsfp1sFDB
Toni Braxton,3X458ddYA2YcVWuVIGGOYe
TV on the Radio,3HJIB8sYPyxrFGuwvKXSLR
Neurosis,1KHydwFySZY3YcWyo2q2dF
The Pharcyde,7yk35uHNQclPXFGFoTU44w
The Bad Plus,5qOfTfMzTj2dvvpWKzIFk6
Galaxie 500,6guTJsgPymDUVfqDJyz5UG
Hope of The States,6xxkPbhCWirK5gVNZODBEB
MSTRKRFT,2squZ8HjM4AzR0j6jsPn4a
lovesliescrushing,06yvjjrPokJGC66DzFfCkF
James Dean Bradfield,1arQYOWtxuQW27WR299gT3
Rachel Goswell,0prEgQscX7BEd2EvCFm6Se
Nas,20qISvAhX20dpIbOOzGK3q
Bruce Springsteen,3eqjTLE0HfPfh78zjh6TqT
Ricky Martin,7slfeZO9LsJbWgpkIoXBUJ
Butthole Surfers,62BcWP4fzR8axESibNQEhs
Nivhek,5igTNru2ENU1qwU1qvlmYl
Kasabian,11wRdbnoYqRddKBrpHt4Ue
Pernice Brothers,1CgvL3gASrnuI8SKXr8K7F
Jay-Z,3nFkdlSjzX9mRTtwJOzDYB
Maritime,79xu36jzq3a5nU8uubNZr9
Xiu Xiu,5JLqvjW3Nyom2OsRUyFsS9
Ex Eye,0CrPMe8paGt3kt8HLUPHsf
Gustavo Cerati,1QOmebWGB6FdFtW7Bo3F0W
Skank,4C4kpaAdp6aKSkguw40SsU
Mouse on Mars,4ZgIWfyg9BkcqnJJ2xVR3f
The Apples In Stereo,5KIrQe9pb7tn8y775PsoAP
Masta Ace,1wo9h8DP7M0M1orKuGZgWv
Eurythmics,0NKDgy9j66h3DLnN8qu1bB
Bert Jansch,1FqG6mhiJbhbMg43ohCT6D
The Waterboys,5TnuP42pw475UrjjeabtwZ
Radical Face,5EM6xJN2QNk0cL7EEm9HR9
U.S. Maple,61GfY4WOLLfeAe2AtnUyul
Annuals,6RGtmi36A5vvytFxqbHa1y
The Intelligence,6BvibnsgeiKxzkBkSCwGiM
Aimee Mann,3UpIbyXfGzmHG6TMH4dJEk
Phantogram,1l9d7B8W0IHy3LqWsxP2SH
Daughters,1LhK7wn59Hq6GNN4sUS3ih
Deerhoof,7AZwAitWq1KcFoIJhRWb6V
Battle Of Mice,4y0xdRQ6jYvUUxRB71b514
Armand Hammer,3SCI7sXHUZIeDKMWC5NT9C
The Pains of Being Pure at Heart,3zmmBJseZelpVEHj8S6Dek
Northern State,3MDug5YuuK0LocDNOrNRt3
DJ Spooky,1O8yrjjifkCO8txB4CxuOm
Dying Fetus,2DqzOWVL2ly48IA9bpZdie
Kristin Hersh,6ZWUhhSv3IahZyW5keNSxK
People Under the Stairs,0av074qUwLn5eyzwqoq3xh
TOBACCO,3ikKyCOrsMeANi0d5u8BCR
Bruce Hornsby,2iM28IgKg89v1o7BTQAVPo
Michael Jackson,3fMbdgg4jU18AjLCKBhRSm
This Will Destroy You,0MG4LXIw7n4x0wjDc6WYXk
Brand Nubian,3YyZFf9ZN2YbkqeZia8zHX
The Zutons,2qV7axHq9Jk7QqFcB3f05A
Sean Price,2x6jz70u3sZq75tW10akUW
Beacon,3sb3yLRnhW2L2ulU93eKfl
Har Mar Superstar,5wjWLK4KMqmRbdUtTEV1BG
The Broken West,1dOALICyzOQ3sR2SKULZFD
M.I.A.,0QJIPDAEDILuo8AIq3pMuU
Arbouretum,74o9NlWEiftu6kvoDpIpAA
Jill Cunniff,4Vr73Mb0CocpmJgmjueqsy
The Sea and Cake,0ihBDeJlIlXo4LFfAllsGm
Marnie Stern,7CHNUgkepqsMm9tYnwtVDt
DJ Khaled,0QHgL1lAIqAw0HtD7YldmP
Astronoid,2S13OV7nLeciVigE0Wxo7E
Jon Hopkins,7yxi31szvlbwvKq9dYOmFI
Lou Reed,42TFhl7WlMRXiNqzSrnzPL
