Label,label_id
"Lights Music, Last Gang",7482
LO-MAX Records EMI,11806
Nomark,25145
Ghostly,1464
Entertainment One Music,2239
Big Scary Monsters Records,11849
Slumberland / Memphis Industries,2450
Peacefrog Records,21675
Asian Man Records,4065
Warm Records,1328
We the Best,6596
Ye Olde,29441
Odd Future,2219
Barsuk/Elsinor,1859
Matinee,22047
Brick,3980
Carpark Records,1412
Matador / Domino,4914
TBD,1467
Taang!,16861
Nonesuch,237
Delmore Recordings,30540
Great Crap Factory,29786
Castle Face,808
"RCA, Kemosabe",20738
Light Organ Records,5604
Almo Sounds,5163
Durtro,9384
Modern Records,10771
Hyperdub,289
Mummy / Stones Throw,4931
GBV,29510
Strange Famous Rec,16729
Death Row / Interscope / Atlantic,3936
All City/Koch,12696
Crosstown Rebels,30689
Epic / Immortal,3621
To Whom It May Concern/Co-operative Music,2704
Pocket Kid Records,13524
Scotti Bros. Records,25604
Central Control,3014
"Dirty Science, Fat Beats",15174
Infinity Cat,5896
Solid State,3492
To Whom It May Concern,5078
Light in the Attic,3142
Jester Records / Kscope Music,7322
Aftermath,814
Open Bar,4953
Autumn Tone,6977
Shake It,13349
Just Music,15480
Arista Nashville,951
Bathetic,2933
Ba Da Bing,1628
Westbound,4288
Moribund,17884
Eighteenth Street Lounge Music,3802
"Atlantic, Roadrunner",5476
Fat Beats,1650
No Sleep Records,8077
"Fueled By Ramen, Atlantic",20098
Profound Lore Records,6369
SST Records,270
"Arista, Cheeky",4736
10p Records,4012
Babygrande,5467
Bella Union,339
Hi Fi,30405
E1 Records / Ne'Astra Music Group,5733
GBV Inc,5419
Arts & Crafts,371
Self-Released,461
"Cheeky, Arista",4735
Bauhaus Music / Cooking Vinyl,8372
In the Red Records,92
Neurot Recordings,3189
Badman Recording Co.,30917
Enterteinment One Music,9758
Play It Again Sam,950
Relativity / Epic,18754
LM Dupli-Cation,7096
Holidays for Quince,29684
Garrett,12189
Andmoresound,10332
"Anticon, Alien Transistor",7886
Just Sunshine Records,16928
One Records,2667
Young Turks,2665
Widespread,31440
Work Song,7653
Mahogani,7939
Ye Olde Records,30695
Free People,3054
Runt,2875
"Rough Trade, RCA",453
Felte,3854
Chimera Music,896
Music For Nations / Relativity,5455
Saint Marie,3999
Dirty Version,5833
Gawk,22428
Rainwater,4609
Honor B4 Money,31055
RBC,10160
Nature Sounds,131
Columbia / Aware,809
Iron Works,5782
SVART,7075
Magazine,29493
Computer Ugly / Fat Beats,6533
Georgiana,30014
Anti,108
Last Kings,13826
Legacy Recordings,7177
"EMI, Parlophone",6617
Luaka Bop / V2,11259
Signature Sounds,1060
Deathwish,5013
CMNTY CULTURE,28497
"LaFace, Jive",5149
Topshelf / Bridge 9,12365
Peek-A-Boo,5660
Rhymes of an Hour,5730
No Quarter,2347
American Laundromat,11546
"Island, ZoÃ«",30593
Yep Roc Records,26493
Spinning Top,15219
Modern Outsider,5426
The Mezzotint Label,5387
The Spheres,8087
Universal Music Canada,11498
37d03d,26625
HLR,29530
Epic / Interscope,6912
Cascine,3148
"Fly Eye, Columbia, Startime",3795
Rotten,15073
Paradise Bachelors,29993
Tbd Records,29172
Hammock Music,3481
"Lil Lou, Warner",25490
TEN/Kemosabe,8160
Armed,30592
TDE,7726
We Were Never Being Boring,12804
Almost Gold,1131
"Death Row, Interscope",3903
"Sparro, Inc.",27831
ESL,8013
Drunken Fish,4814
Ostgut,66
"Deconstruction, Mushroom, Arista",7896
Glitterhouse,6070
Deep Elm,11413
Loud Records,5571
Heavenly Records,13100
Jagjaguwar,5
Idaho Music,22860
Embassy Productions,12887
Driftless,6931
UNited Daries,4440
Javotti Media,7255
Names / ATO,3900
"Sonic Cathedral, Slumberland",29926
Rabble Rouser,12066
Captured Tracks/Bella Union,4593
Constellation Records,6610
Loud/RCA,25345
Catsup Plate,203
Misra Records,211
ABB Records,6762
Constellation,828
"Merge, Domino",2619
Smells Like,2874
"Lindseystomp, Decca, Universal",8494
Combat,4406
Indianola Records,7116
EMI / Columbia,3544
Sumerian,3418
